Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",113.199400,-61.123800,90.000000,top
"C2","100nF","C_0603_1608Metric",116.449400,-61.123800,90.000000,top
"C3","10uF","C_0805_2012Metric",120.449400,-61.123800,90.000000,top
"C4","100nF","C_0603_1608Metric",123.699400,-61.123800,90.000000,top
"C5","100uF","CP_Elec_6.3x7.7",186.950000,-59.600000,0.000000,top
"C7","100uF","CP_Elec_6.3x7.7",100.680000,-61.880000,180.000000,top
"C8","100nF","C_0603_1608Metric",160.950000,-68.900000,-90.000000,top
"C10","100nF","C_0603_1608Metric",160.896600,-71.655000,180.000000,top
"C12","4.7uF","C_0603_1608Metric",115.006627,-78.700000,180.000000,top
"C13","4.7uF","C_0603_1608Metric",118.306627,-78.700000,180.000000,top
"C14","100nF","C_0603_1608Metric",126.470000,-79.212500,90.000000,top
"C15","100nF","C_0603_1608Metric",128.550000,-79.212500,90.000000,top
"C16","100nF","C_0603_1608Metric",130.050000,-79.212500,90.000000,top
"C17","100nF","C_0603_1608Metric",133.470000,-79.212500,90.000000,top
"C18","100nF","C_0603_1608Metric",134.970000,-79.212500,90.000000,top
"C19","100nF","C_0603_1608Metric",136.470000,-79.212500,90.000000,top
"C20","4.7uF","C_0603_1608Metric",125.000000,-79.208800,90.000000,top
"C21","4.7uF","C_0603_1608Metric",140.997000,-79.206200,90.000000,top
"C22","100nF","C_0603_1608Metric",142.470000,-79.212500,90.000000,top
"C24","100nF","C_0603_1608Metric",184.982873,-76.075000,90.000000,top
"C29","100nF","C_0603_1608Metric",160.910000,-83.351400,180.000000,top
"C30","100nF","C_0603_1608Metric",121.220000,-86.962500,180.000000,top
"C31","100nF","C_0603_1608Metric",149.221200,-88.090600,0.000000,top
"C32","100nF","C_0603_1608Metric",114.550000,-89.820000,180.000000,top
"C33","4.7uF","C_0603_1608Metric",121.208000,-88.476400,180.000000,top
"C34","4.7uF","C_0603_1608Metric",121.204100,-89.983200,180.000000,top
"C35","4.7uF","C_0603_1608Metric",133.350000,-107.350000,-90.000000,top
"C36","100nF","C_0603_1608Metric",121.220000,-91.462500,180.000000,top
"C37","100nF","C_0603_1608Metric",149.220000,-91.012500,0.000000,top
"C38","100nF","C_0603_1608Metric",121.220100,-92.991200,180.000000,top
"C39","100nF","C_0603_1608Metric",149.220000,-92.512500,0.000000,top
"C40","100nF","C_0603_1608Metric",149.220000,-94.100002,0.000000,top
"C41","100nF","C_0603_1608Metric",160.910000,-94.131400,180.000000,top
"C42","100nF","C_0603_1608Metric",149.225000,-95.600000,0.000000,top
"C43","100nF","C_0603_1608Metric",121.220000,-97.462500,180.000000,top
"C44","4.7uF","C_0603_1608Metric",149.223800,-97.058300,0.000000,top
"C45","100nF","C_0603_1608Metric",160.910000,-104.941400,180.000000,top
"C46","100nF","C_0603_1608Metric",136.350000,-107.337500,-90.000000,top
"C47","4.7uF","C_0603_1608Metric",113.325000,-112.925600,180.000000,top
"C48","4.7uF","C_0603_1608Metric",116.850000,-112.925600,180.000000,top
"C49","100nF","C_0603_1608Metric",127.970000,-107.212500,-90.000000,top
"C50","4.7uF","C_0603_1608Metric",129.426100,-107.210300,-90.000000,top
"C51","100nF","C_0603_1608Metric",131.850000,-107.337500,-90.000000,top
"C52","100nF","C_0603_1608Metric",134.850000,-107.337500,-90.000000,top
"C53","4.7uF","C_0603_1608Metric",142.950000,-107.218000,-90.000000,top
"C54","100nF","C_0603_1608Metric",141.470000,-107.212500,-90.000000,top
"C55","100nF","C_0603_1608Metric",171.071800,-112.226000,0.000000,top
"C56","4.7uF","C_0603_1608Metric",94.954900,-95.096400,90.000000,top
"C57","100nF","C_0603_1608Metric",76.659700,-93.350400,-90.000000,top
"C58","22uF","C_1206_3216Metric",73.250000,-93.600000,-90.000000,top
"D3","SD act.","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",75.500000,-122.175000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",67.000000,-52.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",191.000000,-52.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",67.000000,-117.000000,0.000000,top
"J1","Power in","AMPHENOL_10118194-0001LF",77.467152,-44.459469,180.000000,top
"J2","ESP USB Host","USB_A_Molex_67643_Horizontal",101.000000,-53.860000,180.000000,top
"J3","Audio out","C2939180",119.000000,-48.000000,0.000000,top
"J4","VGA","ICD15S13E4GV00LF",149.000000,-43.000000,180.000000,top
"J9","TF-03A","TF-03A",96.000000,-98.670000,0.000000,top
"J10","FPGA spare","PinHeader_2x06_P2.54mm_Vertical",137.160000,-116.080000,-90.000000,top
"J13","ESP32 spare","PinHeader_2x07_P2.54mm_Vertical",102.460000,-68.760000,0.000000,top
"JP1","USB","PinHeader_1x02_P2.54mm_Vertical",75.674600,-56.525400,180.000000,top
