Ref,PosX,PosY,Side,Rot
C1,129.75,-105.75,top,-90
C2,128.25,-105.75,top,-90
C3,119,-84.25,top,180
C4,147,-99.75,top,0
C5,119.025,-93,top,180
C6,135.75,-105.75,top,-90
C7,137.25,-105.75,top,-90
C8,119.025,-91.5,top,180
C9,147,-91.45,top,0
C10,134.25,-105.75,top,-90
C11,136.25,-78,top,90
C12,137.75,-78,top,90
C13,119,-99.75,top,180
C14,147,-84.25,top,0
C15,147,-92.95,top,0
C16,130.15,-78,top,90
C17,128.65,-78,top,90
C18,126.75,-105.75,top,-90
C19,140.75,-78,top,90
C20,131.75,-78,top,90
C21,131.25,-105.75,top,-90
C22,138.75,-105.75,top,-90
C23,132.75,-105.75,top,-90
C24,133.25,-78,top,90
C25,134.75,-78,top,90
C26,139.25,-78,top,90
C27,140.25,-105.75,top,-90
C28,126.65,-78,top,90
C29,144,-114.5,top,90
C30,136,-114.5,top,90
C31,93.5,-81,top,90
C32,93.5,-78,top,90
C33,85.5,-65.5,top,0
C34,95.3,-121,top,90
C35,162.225,-61.55,top,0
C36,76.65,-118.25,top,-90
C37,73.25,-118.5,top,-90
C38,95,-81,top,-90
C39,95,-78,top,-90
C40,91.75,-70.75,top,90
C41,82.6,-81.55,top,90
C42,162.2,-79.55,top,0
C43,162.2,-88.5,top,0
C44,188.5,-63,top,0
C45,120.25,-52.75,top,90
C46,127.5,-52.75,top,90
C48,117,-52.75,top,90
C49,124.25,-52.75,top,90
C50,162.2,-70.5,top,0
C51,153.8,-120.75,top,-90
C52,154.25,-97,top,0
C55,189.5,-84.25,top,90
C56,158.75,-97,top,180
C57,154.25,-107,top,0
C58,187.8,-120.75,top,-90
C59,171.35,-112.6,top,90
C60,158.725,-107,top,180
C62,111.1,-108.15,top,180
C63,132.5,-69,top,-90
C64,107.1,-91.15,top,180
C65,107.8,-108.15,top,180
C66,137.9,-69,top,-90
C67,103.8,-91.15,top,180
R1,142.25,-78,top,90
R2,145.25,-78,top,90
R3,123.75,-105.75,top,90
R4,121.65,-78,top,-90
R5,120.15,-78,top,90
R6,125.25,-105.75,top,-90
R7,141.75,-105.75,top,-90
R8,123.15,-78,top,90
R9,143.25,-105.75,top,90
R11,143.75,-78,top,90
R12,89.3,-121,top,-90
R13,98.8,-121,top,-90
R14,82.5,-65.5,top,0
R15,82.5,-62.5,top,0
R16,104.3,-121,top,-90
R17,102.8,-121,top,-90
R18,100.3,-121,top,-90
R19,92.8,-121,top,-90
R20,87.8,-121,top,-90
R21,82.5,-54.5,top,180
R22,105.8,-121,top,90
R23,82.5,-56,top,180
R24,86.3,-121,top,90
R25,85.5,-67,top,180
R26,85.5,-68.5,top,0
R27,75.15,-118.25,top,90
R28,89.1,-68.5,top,180
R29,85.5,-72,top,0
R30,93.25,-70.75,top,-90
R31,94.25,-68.5,top,180
R32,98.25,-68.5,top,180
R33,130.25,-55,top,90
R34,131.75,-55,top,90
R35,133.25,-55,top,90
R36,134.75,-55,top,90
R37,136.25,-55,top,90
R38,137.75,-55,top,90
R39,139.25,-55,top,90
R40,140.75,-55,top,90
R41,142.25,-55,top,90
R42,143.75,-55,top,90
R43,145.25,-55,top,90
R44,146.75,-55,top,90
R45,148.25,-55,top,90
R46,149.75,-55,top,90
R47,174.15,-52.55,top,-90
R48,185.05,-50.75,top,-90
R49,183.55,-50.75,top,-90
R50,182.05,-50.75,top,-90
R51,180.55,-50.75,top,-90
R52,186.55,-50.75,top,-90
R54,78,-144.05,top,-90
R55,176.3,-130,top,90
R56,173.3,-130,top,90
R57,170.3,-130,top,90
R58,167.3,-130,top,90
R59,164.3,-130,top,90
R60,161.3,-130,top,90
R61,158.3,-130,top,90
R62,155.3,-130,top,90
R63,177.8,-130,top,-90
R64,174.8,-130,top,-90
R65,171.8,-130,top,-90
R66,168.8,-130,top,-90
R67,165.8,-130,top,-90
R68,162.8,-130,top,-90
R69,159.8,-130,top,-90
R70,156.8,-130,top,-90
R71,116.75,-56,top,90
R72,124,-56,top,90
R73,140.75,-132.64,top,90
R74,139.25,-132.64,top,90
R75,122.5,-132.64,top,90
R76,121,-132.64,top,90
R77,137.75,-132.64,top,-90
R78,119.5,-132.64,top,-90
R79,142.25,-132.64,top,-90
R80,124,-132.64,top,-90
R81,118.75,-52.75,top,-90
R82,126,-52.75,top,-90
R83,210.3,-130,top,90
R84,207.3,-130,top,90
R85,204.3,-130,top,90
R86,201.3,-130,top,90
R87,198.3,-130,top,90
R88,195.3,-130,top,90
R89,192.3,-130,top,90
R90,189.3,-130,top,90
R91,211.8,-130,top,-90
R92,208.8,-130,top,-90
R93,205.8,-130,top,-90
R94,202.8,-130,top,-90
R95,199.8,-130,top,-90
R96,196.8,-130,top,-90
R97,193.8,-130,top,-90
R98,190.8,-130,top,-90
R99,111.1,-109.65,top,0
R100,131,-69,top,90
R101,107.1,-92.65,top,0
R102,103.8,-92.65,top,0
