Comment,Designator,Footprint,Supplier and ref
100,"R84,R60,R86,R59,R17,R55,R56,R62,R102,R90,R57,R19,R85,R88,R89,R18,R23,R58,R61,R83,R87,R20",R_0603_1608Metric,
4.7k,"R69,R92,R70,R93,R65,R11,R14,R8,R2,R15,R95,R5,R67,R97,R63,R94,R6,R64,R96,R91,R66,R1,R98,R32,R28,R68",R_0603_1608Metric,
1k,"R49,R51,R52,R48,R7,R50,R47",R_0603_1608Metric,
100nF,"C19,C59,C46,C9,C6,C16,C42,C60,C31,C38,C1,C7,C35,C23,C13,C55,C11,C36,C58,C44,C30,C52,C32,C33,C8,C43,C56,C18,C45,C57,C39,C24,C17,C29,C12,C28,C3,C4,C51,C2,C50,C14,C27",C_0603_1608Metric,
10k,"R27,R16,R21,R13,R24,R12,R22",R_0603_1608Metric,
4300,"R40,R44,R36",R_0603_1608Metric,
1070,"R42,R34,R38",R_0603_1608Metric,
4.7uF,"C10,C22,C20,C65,C63,C66,C34,C62,C26,C25,C5,C41,C40,C64,C67,C15,C21",C_0603_1608Metric,
1,"R100,R99,R101",R_0603_1608Metric,
2150,"R35,R39,R43",R_0603_1608Metric,
220,"R3,R29,R54,R9,R4",R_0603_1608Metric,
33,"R76,R75,R74,R73",R_0603_1608Metric,
10uF,"C49,C48",C_0805_2012Metric,
15k,"R78,R80,R77,R79",R_0603_1608Metric,
330,"R71,R72",R_0603_1608Metric,
820,"R46,R45",R_0603_1608Metric,
536,"R41,R33,R37",R_0603_1608Metric,
150,"R81,R82",R_0603_1608Metric,
2.2k,R30,R_0603_1608Metric,
220k,R25,R_0603_1608Metric,
47k,"R26,R31",R_0603_1608Metric,
22uF,C37,C_1206_3216Metric,
