ASCII Character Codes

  *Regular ASCII Chart (character codes 0-127)*

  000 \x00 (NUL)  016 \x10 (DLE)  032 sp  048 0  064 \@  080 P  096 `  112 p
  001 \x01 (SOH)  017 \x11 (DC1)  033 !   049 1  065 A  081 Q  097 a  113 q
  002 \x02 (STX)  018 \x12 (DC2)  034 "   050 2  066 B  082 R  098 b  114 r
  003 \x03 (ETX)  019 \x13 (DC3)  035 #   051 3  067 C  083 S  099 c  115 s
  004 \x04 (EOT)  020 \x14 (DC4)  036 $   052 4  068 D  084 T  100 d  116 t
  005 \x05 (ENQ)  021 \x15 (NAK)  037 %   053 5  069 E  085 U  101 e  117 u
  006 \x06 (ACK)  022 \x16 (SYN)  038 &   054 6  070 F  086 V  102 f  118 v
  007 \x07 (BEL)  023 \x17 (ETB)  039 '   055 7  071 G  087 W  103 g  119 w
  008 \x08 (BS)   024 \x18 (CAN)  040 (   056 8  072 H  088 X  104 h  120 x
  009 \x09 (TAB)  025 \x19 (EM)   041 )   057 9  073 I  089 Y  105 i  121 y
  010 \x0A (LF)   026 \x1A (EOF)  042 \*   058 :  074 J  090 Z  106 j  122 z
  011 \x0B (VT)   027 \x1B (ESC)  043 +   059 ;  075 K  091 [  107 k  123 {
  012 \x0C (NP)   028 \x1C (FS)   044 ,   060 \<  076 L  092 \\  108 l  124 |
  013 \x0D (CR)   029 \x1D (GS)   045 -   061 =  077 M  093 ]  109 m  125 }
  014 \x0E (SO)   030 \x1E (RS)   046 .   062 >  078 N  094 ^  110 n  126 ~
  015 \x0F (SI)   031 \x1F (US)   047 /   063 ?  079 O  095 _  111 o  127 \x7F

  *Extended ASCII Chart (character codes 128-255)*

  128 \x80  144 \x90  160 \xA0  176 \xB0  192 \xC0  208 \xD0  224 \xE0  240 \xF0
  129 \x81  145 \x91  161 \xA1  177 \xB1  193 \xC1  209 \xD1  225 \xE1  241 \xF1
  130 \x82  146 \x92  162 \xA2  178 \xB2  194 \xC2  210 \xD2  226 \xE2  242 \xF2
  131 \x83  147 \x93  163 \xA3  179 \xB3  195 \xC3  211 \xD3  227 \xE3  243 \xF3
  132 \x84  148 \x94  164 \xA4  180 \xB4  196 \xC4  212 \xD4  228 \xE4  244 \xF4
  133 \x85  149 \x95  165 \xA5  181 \xB5  197 \xC5  213 \xD5  229 \xE5  245 \xF5
  134 \x86  150 \x96  166 \xA6  182 \xB6  198 \xC6  214 \xD6  230 \xE6  246 \xF6
  135 \x87  151 \x97  167 \xA7  183 \xB7  199 \xC7  215 \xD7  231 \xE7  247 \xF7
  136 \x88  152 \x98  168 \xA8  184 \xB8  200 \xC8  216 \xD8  232 \xE8  248 \xF8
  137 \x89  153 \x99  169 \xA9  185 \xB9  201 \xC9  217 \xD9  233 \xE9  249 \xF9
  138 \x8A  154 \x9A  170 \xAA  186 \xBA  202 \xCA  218 \xDA  234 \xEA  250 \xFA
  139 \x8B  155 \x9B  171 \xAB  187 \xBB  203 \xCB  219 \xDB  235 \xEB  251 \xFB
  140 \x8C  156 \x9C  172 \xAC  188 \xBC  204 \xCC  220 \xDC  236 \xEC  252 \xFC
  141 \x8D  157 \x9D  173 \xAD  189 \xBD  205 \xCD  221 \xDD  237 \xED  253 \xFD
  142 \x8E  158 \x9E  174 \xAE  190 \xBE  206 \xCE  222 \xDE  238 \xEE  254 \xFE
  143 \x8F  159 \x9F  175 \xAF  191 \xBF  207 \xCF  223 \xDF  239 \xEF  255 \xFF
